iban,account_value,account_live,currency
LI45 4372 8BOW LTQA LW82 3,172.2,true,Euro
BE74 6386 0612 4643,781.53,false,Yuan Renminbi
BE66 5388 3176 3670,973.71,false,Euro
EE37 3590 0969 2835 3242,494.74,true,Real
FR53 0627 3276 988F TCC2 R1I4 O43,130.68,false,Euro
PT40 6301 4336 9904 8960 6925 9,165.3,true,Lempira
RS68 1974 6526 1660 2444 99,753.52,false,Yen
SM32 I637 7510 5477 GCLF YTTP DO3,506.74,false,Zloty
AZ03 GMXL LXUC BUGU RE2T 9MSQ KA8Q,934.77,true,Rial
GI80 AQOC 26BG MFZK 2E6F WD3,290.3,false,Baht
FR87 6448 1776 33LY OLIO QEO5 P16,383.88,true,Krona
MK44 308B PWAV EOKU P40,643.93,true,Pound
MD98 0VBS 15PF HCZA PPEX JM9U,160.05,true,Dong
SE44 0720 2098 0574 2749 2370,589.84,true,Kuna
BH12 SRKG O5XT B0FE 8FQ3 D8,396.35,false,Krona
DO90 V3ZH 5362 5421 4669 1893 2959,424.16,true,Dollar
FR09 5875 1974 681F 1WBC 2L8C 586,513.71,false,Yen
DO20 YDTD 5907 9786 8276 6747 4500,943.56,true,Manat
AZ86 TWLZ KXS9 ZM2P IL7V TCNZ 2RPC,374.6,true,Naira
EE53 1658 0576 9310 1429,438.07,true,Peso
MR71 9972 1154 5781 3940 6986 639,416.68,true,Rupiah
CR61 6247 6465 1660 4068 9,891.72,true,Peso
AD48 4062 5092 MAEF DPMS AY4Y,997.02,true,Hryvnia
MU62 KEBA 6498 5654 0312 3857 141F QK,507.64,true,Sol
GR13 9712 690N FAUF LENP 5LU9 KST,290.29,true,Euro
DK35 0202 0021 5150 66,763.24,false,Franc
LB97 7622 YJPP ZL8S JX05 BFIO 0PFZ,644.95,true,Yuan Renminbi
DK19 6357 2191 7688 88,869.71,true,Dollar
PS45 YKEF SGEM KCI0 RCQQ XOSC HR9Y Z,805.09,true,Euro
SI03 1232 6150 4033 433,295.34,true,Baht
BH83 QWRH LRRX N11G UXDX UG,510.98,false,Shilling
IS79 8505 1672 3603 1324 5859 91,684.55,true,Ruble
BH19 DEER H31S 8W0D XJHL ZR,366.9,true,Dollar
IL71 5711 8792 1671 2387 402,200.74,true,Kwanza
BA29 4787 2056 7957 1862,428.96,true,Euro
VG26 TCOS 6119 6363 6294 0458,672.45,true,Dirham
FR23 9092 8875 01HG DPBP CDKW J23,897.55,true,Shekel
DE71 3128 7757 1202 9001 92,716.56,false,Dollar
MC71 4491 8006 15FG IGXG 7AWB H38,656.27,false,Rupiah
LU97 381K NMKF SVNZ BZXU,113.12,false,Ruble
GT27 ECVM EBTM QEMW SYBI XGTO 8DOG,730.92,true,Yuan Renminbi
AE38 2165 2095 1938 0497 497,640.16,false,Real
GL29 2315 5252 9214 09,259.83,false,Yuan Renminbi
TN59 3587 6988 2229 6405 4521,833.92,true,Real
SA12 849A MECW YQSF IXJF GRY4,301.37,false,Rial
FR07 4485 8837 76PI M6BW FHXZ V65,98.01,true,Sol
FR67 8470 1511 86YJ VRDY ROGB I01,753.42,false,Peso
PS83 ULJP 9XB3 2GWG AREC DCUT XRUQ H,615.57,false,Peso
SI72 2773 1972 9344 789,540.79,true,Krona
FR92 3913 1655 282E P6Y2 ATW3 W33,203.73,true,Rupiah
MT12 NHOC 4584 8OQJ 0SX9 3BVL BGQI ASI,881.27,true,Hryvnia
AD59 0926 0255 WN5B LFXN SFNO,798.29,true,Rupiah
PT95 5304 8504 2280 7232 7696 7,578.41,false,Yen
MK29 6312 NBDL OJR5 786,61.97,true,Baht
VG48 LEIA 8428 3888 5191 2725,113.41,true,Euro
LI67 9464 4DHJ PYKM TQC6 M,523.06,true,Rupiah
FR76 5194 3391 05Q1 ZCQC DAF3 J15,528.18,true,Peso
DO58 WS0O 1503 2591 8838 7297 4484,495.23,false,Krona
FR90 2589 1783 01WJ JEV4 MIG6 G09,46.78,false,Yuan Renminbi
IT55 X365 3715 511U Y2QS YYXP UGE,235.43,true,Ruble
MC70 8282 6191 68XG 1ZOA SPHA Q02,800.97,true,Rupiah
GI18 RBFK FNZC WDCI GZMP N2U,434.87,true,Peso
LT02 2783 4606 8548 7828,560.1,false,Litas
LB83 9784 UPRZ P1DR CIGO LDAI WLZS,394.63,false,Dollar
DK74 3640 7922 5450 19,609.95,false,Yuan Renminbi
FR19 4321 9596 31RN UPLL SRYQ V78,745.56,true,Baht
NL28 XLXD 6883 6781 13,472.83,true,Euro
LU05 5582 RNR4 HEE3 OHXO,128.49,false,Ruble
CZ65 6948 6527 2156 3763 8794,894.53,true,Yuan Renminbi
HU72 8706 9642 5836 6126 2583 1206,219.01,false,Euro
KW98 CNBY 0GBG MPTB FG6D B6NQ IVLL J9,849.46,true,Ruble
GL35 2634 0288 6513 10,741.95,false,Rupiah
AD83 7346 7289 STND YVNR BAKG,54.04,true,Euro
LI71 5881 0MAC TKSA 5CU2 P,674.05,false,Peso
FI69 7075 2581 2306 58,92.12,false,Rupiah
LU69 979J NNCR 8VFD 2U9T,977.25,false,Euro
GI06 OIFR WUHK C3CX NBSU LNC,565.55,false,Euro
DO05 0OWC 3175 0831 1262 3252 5049,677.82,false,Rupiah
AZ55 DKGQ FS1E 5WFI IH0A O7HO HZJ3,495.0,false,Euro
KZ51 1144 FNYG 7EAT YYJK,257.79,false,Rupiah
BG11 YHJW 9393 21AN U74D S9,379.62,true,Euro
HR04 7538 1331 2588 5534 6,260.44,true,Som
LB25 3684 OINX HJL7 B9RI PB1X C3DV,968.67,true,Rupiah
VG83 DCKA 7712 8561 5850 9318,152.64,true,Rupiah
PK83 BOVG FDBH MBJH JN6K SHWB,181.62,false,Dollar
FR36 8485 2035 19FS VZJZ W1ZL 204,85.86,true,Euro
FR88 2337 6282 89LQ JESD HYCB 220,188.28,true,Ruble
FR07 2874 2650 477G V3KU DXEW 015,483.73,false,Rupiah
RO79 SDNQ 6X2Q HL7J NHK4 PLTK,162.6,false,Rand
FO74 5872 6464 8262 96,116.63,true,Dollar
FR91 7344 3010 04EZ 8H1H AMVI R17,324.38,true,Euro
SE93 1773 6030 3719 4541 1550,867.12,false,Yuan Renminbi
GT24 UPVP BN2N J94C OHDR 8OXV OX8O,578.64,false,Euro
BA21 1223 5821 5034 4368,481.07,false,Zloty
IL97 2220 1576 3471 0865 604,449.57,true,Euro
LU25 126F LMAE GGRO NGXN,994.78,true,Lev
PT62 7882 0815 8050 1121 9643 8,488.24,false,Yuan Renminbi
MK30 308G DNUV TZQI G04,479.07,false,Yen
LT33 1169 7344 5519 4130,465.62,false,Ruble
SA37 890B FDRK BKZB 81NL VHQG,800.13,false,Yuan Renminbi
HR67 8686 9185 8568 0484 6,941.67,true,Yuan Renminbi
RO81 CWBP OAFO DZQN CC8J QQGV,30.2,false,Rupiah
DE90 2059 7563 8301 4998 30,421.46,true,Rupiah
BG59 LVLK 1940 33FC B5MK 2M,55.71,false,Hryvnia
FR49 9446 8350 913O QQXI N3UA L33,664.75,false,Peso
DK94 3978 4930 9294 66,653.95,true,Peso
AD20 6049 5023 5JTN MABV O3VK,378.79,false,Krona
ES96 4884 6279 7385 6148 7739,599.04,true,Euro
AZ90 NBMQ B9BP LGCT JKN1 FLNC XMFO,764.17,true,Yuan Renminbi
MK26 144B 64FD PBBV X43,674.45,false,Dollar
KW98 NSXH T4FB 49R5 KOXG RFF2 JHPK CI,157.31,false,Euro
SK25 1904 0063 3049 9872 5738,316.68,true,Yuan Renminbi
DK28 5592 9462 1642 76,832.59,true,Yuan Renminbi
PS66 IGQY SSFT MW8V WC6Q 7JNX EJZW U,899.52,true,Rupiah
FR64 4697 8670 96MZ B2AN LVR7 J26,908.45,true,Zloty
DE84 5428 1914 8870 2645 62,223.45,true,Rial
NO79 8240 0781 594,18.18,false,Yuan Renminbi
FR68 2448 3750 65F3 BOGY X6VE W21,71.26,false,Euro
LB90 6715 N3KF L1YI BN30 KST1 RD1E,933.81,false,Rand
FR87 5484 5899 89MJ AVQB JOGT L06,231.4,true,Rupiah
NL96 KKFG 4935 5817 17,868.59,true,Ruble
GR75 2761 0559 4VNN MDF3 FXN9 YSG,571.08,true,Franc
RO19 IKXV DASN Z7CR ZTLR 7GHQ,159.58,true,Rupiah
SK25 0831 2797 6074 3056 3598,729.07,true,Rupiah
CH49 8429 5ES6 QD1T Y9RC D,716.56,false,Quetzal
BA32 8312 0398 1961 5381,555.84,true,Taka
FR18 3583 4825 66QQ KLH6 HLNF Z93,690.53,false,Zloty
AD68 3218 8618 YTSF WMER Q8TG,693.62,true,Euro
GI06 AENI RRPD F9PV CZO8 M9K,960.4,true,Euro
DO62 20GQ 2901 2627 2059 1333 9606,527.22,true,Yuan Renminbi
MD36 AZPO DYOZ IUHM HUWC GN4H,583.12,false,Euro
LI54 1104 8NT3 RKVD UEBW M,621.25,false,Naira
MU24 ODLI 6431 3353 6947 3602 967H FL,302.18,false,Yuan Renminbi
IT93 A380 7598 940R 9ZVN ZRT4 9LE,448.06,true,Krona
ES64 2770 9228 3775 5021 3874,8.71,true,Yuan Renminbi
LB81 4673 NKON INDM J9WL ILOU SBAB,305.69,true,Peso
KW19 NEHQ RSAI IOTN VJAG FMV3 22RA CI,296.62,true,Rupiah
MU98 FMNW 9675 7263 9007 6492 716C XS,820.12,true,Rand
MK98 395V F9PZ KKYC U36,669.1,false,Yuan Renminbi
FR41 3893 9934 14T2 J5WS AYQI X38,22.56,true,Dollar
IL08 1366 9002 8823 6606 219,816.36,false,Yen
AE29 9903 3892 7621 9575 590,155.02,true,Shilling
VG59 GAHG 3027 4728 3736 1747,513.12,true,Balboa
NO54 9161 5314 310,665.6,false,Peso
AZ87 ASJR J3BF XVIH Y6MH OGNK CSOX,876.9,false,Euro
BR44 3445 1047 7232 4510 3849 952H G,521.34,true,Shekel
DO82 4HFK 9496 4975 7830 7274 9715,402.46,true,Shilling
BR03 2654 1249 4252 6819 3126 881S K,311.02,false,Koruna
ES56 9882 4705 1161 2130 4667,105.9,false,Real
TR33 0868 7NKW 4LYU J6HU 4ZF1 SV,50.8,false,Rupiah
RO03 HOQW 1D4V W2PL 9KP3 39WC,178.79,true,Yuan Renminbi
GE78 XZ76 6756 6448 3989 02,929.37,true,Dollar
AD62 6507 5213 S8AX T0WA PDHN,385.72,true,Krona
GB69 WHOQ 1032 1134 0132 25,442.18,true,Yuan Renminbi
FR18 7837 5620 621K VN05 HHZH D95,103.08,false,Ruble
IL68 0646 9882 5280 2003 422,300.45,false,Peso
RS08 8051 7365 4027 8324 19,319.32,false,Naira
LB11 9805 57GO NQRV MPWN S783 MRJR,891.15,false,Dollar
LV43 PLDF A55Y PUH6 FEZI U,113.45,true,Sol
AZ59 SVUL BNWS 8SBL SGPD NTWQ I6DZ,273.13,false,Krona
BE92 9795 7701 4471,515.68,false,Rupiah
FI24 3555 2618 5033 44,598.26,false,Real
MR50 0710 4943 8607 2277 9624 326,589.92,false,Baht
FR93 5029 5692 24WM SIOX QG89 D14,986.73,true,Balboa
LV36 INFC PTLJ E7RN TGRX Y,810.74,true,Euro
SI65 6394 0822 4148 662,462.77,true,Euro
EE33 3774 7749 4008 9587,542.47,true,Dinar
MR18 8318 1176 1622 7240 2754 948,163.08,false,Yuan Renminbi
TN84 2249 8451 4444 2389 1265,608.32,false,Peso
MU92 KECS 4847 8625 9947 0374 305X FX,473.81,true,Euro
CY31 6687 3260 FSND Q9CY HRPI GZZH,625.9,false,Pound
MC03 1738 8120 58SH 1UVN DLTX M40,484.34,false,Euro
BH05 VTLW N4WU IVN8 0QGP 5D,593.07,false,Euro
VG86 YTGO 8331 7018 2481 8441,757.35,false,Yuan Renminbi
CY73 0044 8173 HMZS GN6V ANLJ BJMY,30.11,true,Euro
ME87 8395 5546 1758 9298 05,46.9,true,Won
BH82 IKUR STRF ZIPC GY1I MR,903.78,false,Yuan Renminbi
FR89 8609 2558 17PS HCMA IDNZ W41,312.74,false,Yuan Renminbi
IS72 0219 5730 7446 1681 2359 16,717.0,true,Sol
GL80 7140 3119 7578 56,972.3,true,Hryvnia
FR57 6442 8358 36KB 5IXI QGYA Y72,538.27,false,Euro
BH23 XMSA 8CZ8 VJD2 DVQ9 ZA,995.82,false,Yuan Renminbi
LI28 2312 4AG7 KZGT 4BGR 8,832.64,false,Rupiah
LI30 4785 3ZC7 OIAN 86OA Q,768.67,true,Yuan Renminbi
GL82 5967 5132 4213 49,406.92,true,Euro
FI31 9608 9404 9237 53,25.43,false,Rupiah
GE11 EO05 8111 3976 2828 21,884.3,true,Rupiah
MR02 7697 3435 9858 4878 3782 461,424.01,true,Ruble
FO97 7815 5946 1385 08,448.59,true,Ruble
FR05 7381 3927 00Y7 KCW6 AT3M L00,983.49,false,Yuan Renminbi
CZ29 3248 2302 0585 7275 7579,329.23,false,Baht
FR02 9255 1171 64MU TGSB WPHY T08,903.9,false,Dollar
SM28 Q189 6933 253V ZMAI YXID V6Z,327.51,false,Krona
IE77 JMQA 0634 6173 6812 26,215.44,true,Peso
IT19 N686 6757 961G BZ1P KXJ3 PHY,186.39,false,Euro
MK56 857A MIDI HIMO J86,22.98,false,Yuan Renminbi
FI44 3232 7062 4046 43,789.07,false,Shilling
RO22 TEHR CMXJ 7R68 OFXK VAOE,536.02,false,Euro
FR09 4715 5477 25VY SMHM QYDL B61,361.41,true,Baht
FR17 6215 9102 813I AOHK BC26 026,720.45,false,Peso
EE49 5759 5943 1073 8060,10.26,false,Ruble
CH16 9200 0ABG IZVR KYOC E,499.79,true,Euro
FR32 9475 2903 903X VT6H QVVJ H16,430.97,false,Yuan Renminbi
AZ96 EMOM NWBP NTWI GYOK SXYR GZYB,676.93,false,Euro
GR73 0467 383F TLPH VNRC G2YL VGF,522.25,true,Dong
MU45 AAHU 1135 5780 5541 8643 463Z PP,126.95,true,Yuan Renminbi
ES45 4266 8299 3858 5138 1063,876.54,true,Yuan Renminbi
FR16 2482 2250 60W3 Y3R9 PSIF I18,796.51,false,Euro
MT62 DIVE 9455 7HD7 M798 J9OQ JKHI 05W,155.08,false,Euro
MC05 8786 3437 73VQ Q1JL RN1M U81,773.92,true,Euro
SI20 8038 4951 2544 526,449.79,true,Ruble
PT44 1386 4580 3543 9628 6565 3,720.55,true,Euro
SK08 6730 1004 8819 1483 2979,649.43,true,Litas
FO03 9413 6998 0749 13,429.85,true,Afghani
MK94 6178 0FBL BMO6 H20,825.7,true,Rupiah
DK61 1570 2026 2744 12,439.86,true,Yuan Renminbi
CY27 4994 3257 QG5J 0DXC GJR4 GMFH,842.57,true,Peso
EE78 2038 1537 2033 3193,749.17,true,Peso
AZ73 NLRT URKY 5KEN AMDW DCBY PRB8,302.35,true,Rupiah
IE37 RNXW 8730 5771 2846 08,296.15,true,Franc
BA28 0777 3914 0842 8732,950.54,false,Yen
RS80 7650 9701 4022 5035 01,771.91,true,Yuan Renminbi
LU84 904F 5EQJ BD8N 85WA,334.63,false,Rial
SI45 7766 3421 0759 255,15.52,true,Rupiah
HU80 5182 9808 8037 8370 1306 9217,570.1,true,Franc
FR07 0678 3498 12NH XC7P MWU0 589,591.95,false,Real
PK84 UGUE LUH3 SZGP TNXJ DGU5,327.59,true,Hryvnia
BE36 8844 2980 4525,234.45,false,Rupiah
VG12 DAVK 5410 1940 8738 3761,726.22,false,Kuna
MK74 703T WDZV KBAT P25,620.67,true,Pound
ES15 6408 0496 9243 1089 4220,116.25,false,Baht
BH37 XHSJ 2GEW WUIY Z9RB NM,46.69,true,Euro
BH44 PBTY 5XVJ S0JS WLVM IA,760.89,true,Dong
MT35 QYGN 3858 8VDK YSTE RQSH GS1V 6S0,811.46,true,Yuan Renminbi
LU76 756L ISE9 QY8W LVII,458.2,true,Krona
RS77 8825 6819 2550 7697 79,630.51,false,Peso
PK21 EOHP 0MDW OANW MIG3 JS7S,756.15,false,Dollar
BR94 2053 0621 1590 4040 8472 547H P,226.64,true,Yen
GT85 OVIR YRVR QAVV OYFC 0BXE 419E,389.21,false,Dollar
AT52 5234 9501 4758 1112,974.46,false,Rupiah
TR02 5277 7KDZ QDNB DGUA PDWE NH,787.61,false,Afghani
LV08 DQMF LC15 XEQZ 7JTL T,783.11,true,Won
LV38 EKKE EH1G TPUY HSZW 9,678.96,false,Yuan Renminbi
BH74 OBXY PBXV CHKN AUYD VI,852.92,false,Zloty
BA15 2800 3815 5683 0015,832.09,true,Kuna
MU37 ZYIL 1483 1230 0114 5807 627Y PJ,178.74,true,Dollar
AE14 1724 1974 6738 9775 785,893.96,true,Dollar
SE29 7281 6054 4102 5936 2973,963.76,false,Ruble
CR56 2279 3162 3151 8413 4,815.7,true,Rupiah
NL34 NMKB 4646 5015 84,450.56,true,Yuan Renminbi
FR68 3298 7258 54NA FEJ2 YZVC 706,149.75,true,Yen
LB81 8715 EIML 99XI FCG5 BOS7 DFBC,702.13,true,Yen
SE67 4242 5906 9938 0659 6169,494.65,true,Won
IE66 JSDP 0594 0595 1879 32,394.23,true,Peso
GI83 SDZU 0S6R J7MS BIXI 70E,96.55,true,Yuan Renminbi
KZ19 121Y T1OZ JBKO IXJW,288.16,false,Yuan Renminbi
FR59 3375 5790 93Z3 WKCT OOVJ I73,715.78,false,Hryvnia
FR60 6551 6641 43J6 2XAA XDGW R54,371.43,true,Litas
MR15 9212 2519 7390 1111 7076 164,929.95,true,Zloty
ES20 1316 9050 0608 1835 4407,116.64,false,Rupiah
FR71 9600 6144 51JM ZXTL WTUD O55,387.65,true,Peso
MD10 BWAD S2MX BCIE JDMX MDKU,619.47,false,Yuan Renminbi
AT57 8231 6606 5029 9314,654.1,false,Peso
SA74 04FO OIQI FI52 YAYO YFDZ,484.24,true,Krona
AD81 0452 3338 UAGG BWUS KDOK,115.37,false,Krona
HR06 3190 8367 3415 3288 6,813.89,false,Yuan Renminbi
GB13 EPVE 5336 2391 8533 04,566.92,true,Peso
LI32 2990 5UPY OYFT COMO K,827.01,true,Rupiah
ES42 8732 9260 5905 9964 1113,847.26,true,Euro
FR07 1156 6477 85AW Z2XN XGLM B52,639.76,true,Ruble
CR35 6209 5247 6619 5208 6,268.24,true,Rupiah
HR51 5564 4356 8190 4676 1,563.8,false,Sol
PS95 ZYEZ 8CIQ 6QMT 7NHM Q8HX GOBV D,823.53,false,Yuan Renminbi
LT72 6434 6421 8931 7333,283.25,false,Franc
FR98 3984 6156 10XD RMSD GHUP 309,249.51,true,Peso
FI77 1036 4786 7234 55,167.36,true,Ruble
GE46 BC54 8117 2594 7779 87,563.16,true,Yuan Renminbi
FR20 9896 9190 85PB 8CJE 2KQZ 019,520.55,true,Real
BE30 2893 2353 6143,275.97,false,Dirham
BE04 6682 4839 6837,783.96,false,Dirham
NL47 TPNU 5758 6966 94,266.18,false,Real
NL19 CRTF 9972 0758 44,673.97,true,Yuan Renminbi
ES51 2973 8632 2471 9326 7788,821.79,false,Baht
DE10 1059 7323 8696 3682 52,58.49,true,Hryvnia
AL24 3346 5922 PLDI EPSF OYAK GKPN,264.95,false,Yuan Renminbi
LU40 584V CZEM 71YO IYXX,224.38,false,Yuan Renminbi
AZ90 QNEL ELHQ FNJO PXGC CK7A Z4OZ,313.83,true,Ruble
MC61 8930 2715 53WS 0713 9U9A R07,26.48,false,Peso
CR95 2750 5522 8098 3182 3,567.65,true,Dollar
LI03 3426 1BHW WPIN TPBH Y,68.77,true,Euro
TN06 0777 0794 7073 1256 0297,148.44,false,Yuan Renminbi
FI88 7658 5983 2721 76,671.17,true,Euro
GB07 MKBQ 5010 3684 1935 76,212.1,false,Shilling
MT71 JRKD 4770 55SI DC3F EALM JVGB E0R,368.83,false,Yuan Renminbi
MK46 1282 ADTF TTAT L89,32.06,true,Zloty
TR39 7008 8IPO XI0W LPJX VAI4 QU,644.88,false,Rupee
PL35 3019 0210 3576 2113 1214 1609,11.29,false,Peso
KZ70 910D YFKW JUQL 3VFU,54.69,true,Ruble
LU98 084H RXJX IWJD 0JVJ,611.7,true,Dinar
CZ87 9797 0415 6564 0796 0045,936.23,true,Franc
MC55 0188 9670 92PH 1IKC FLDT X80,983.14,true,Yuan Renminbi
GE69 BY93 7002 5845 8412 98,243.96,false,Yuan Renminbi
CH77 5478 8RDC YKDE RIXF Q,767.17,false,Krone
RS92 0020 1041 6047 5503 25,990.36,false,Dollar
FR13 5975 8012 76GC GMHB ASTP V90,781.35,false,Naira
MK11 676F 1PSW PDLH C24,593.67,false,Real
FR03 5771 9797 69CK U5OZ QFNY H82,535.92,false,Yuan Renminbi
DO61 S6OB 5443 4615 7450 0553 4836,356.58,true,Krona
RS67 8416 5720 4978 8714 99,125.91,false,Hryvnia
ME56 9907 9389 3237 2206 98,511.73,false,Peso
PS45 INUY ZXVH 1GGT TFWP TUI5 RDJK F,335.64,true,Koruna
KW29 BZHS QOB9 UI39 WUR4 GCKQ KX8R 8D,242.99,false,Euro
BE93 5451 2673 2608,69.54,false,Real
GB59 FKKC 0476 9269 5733 60,368.63,true,Yuan Renminbi
NO46 8576 8004 395,994.17,true,Taka
IT47 Z521 0459 937M 5FC3 28S9 9RQ,45.78,false,Euro
MD77 3NSI EO8H GPPS Z6S5 6AWG,639.51,false,Yuan Renminbi
AE28 4684 1641 7273 0588 255,764.18,false,Koruna
CR85 2138 6537 1102 2337 0,294.38,true,Peso
RO30 PWWH L1MT 6VAK 1ZKE YD3Q,124.86,false,Yuan Renminbi
CZ17 0644 2854 9824 9896 0195,504.07,true,Euro
IT83 F383 5671 505B 5M5T 7K1V HOS,781.88,false,Real
TR11 1300 5RFK E1CY DCH0 WUZL PK,812.84,true,Hryvnia
BR66 5731 7730 8086 8457 5438 111Q K,707.5,false,Manat
FR43 1064 9529 89QF YEOW 2GEO K08,99.56,true,Rupiah
FR12 8634 6941 57KU J3QD LFB0 B98,171.19,false,Yen
GR85 5997 140D FCW1 79G3 AQS0 WOE,772.11,true,Cordoba
MK57 524A 7N6K EIGX 186,916.66,false,Euro
FR35 2763 7445 13DH JSND HNDT Y14,826.78,false,Ruble
BE89 8383 9797 1190,607.54,false,Real
KZ17 846C M9JF ZDWP RG6V,599.11,true,Koruna
HR05 2146 3344 1331 4655 1,566.6,true,Yuan Renminbi
DE28 7681 4386 8571 9964 13,542.99,false,Krona
FR95 1464 6721 50MC 2PEU HLAE V06,692.64,false,Dollar
MC03 7530 7497 03HD YRZ8 Q1I8 U76,877.48,false,Zloty
GB67 BIUN 2698 5701 9066 19,507.11,false,Yuan Renminbi
ES14 6786 8652 7066 7119 4305,164.89,true,Yuan Renminbi
CZ05 0972 6301 4288 1425 2386,184.75,false,Rupiah
GB20 PZCO 2056 1786 9897 09,232.05,false,Peso
AT20 0332 9637 1256 7621,400.31,true,Yuan Renminbi
DE46 1312 4366 7080 8174 24,921.53,false,Peso
FR34 2069 1227 75VF Y5XE YJB2 W89,203.39,true,Ruble
ES90 2257 5645 4341 4101 9471,93.05,false,Zloty
FR71 4939 7993 44W3 824O ITF2 249,523.46,true,Ruble
BE70 0992 1974 5384,350.06,false,Ariary
FR98 6074 2652 096Y QQ23 EHZO 941,512.12,false,Dollar
IT15 H746 3645 059R OOWN A1ZP WZF,21.82,true,Krona
GE26 VW05 2998 1548 7333 08,655.22,true,Rupiah
IL22 0036 9351 0501 9493 206,268.46,false,Yuan Renminbi
NL28 BFFC 4753 4662 66,899.34,true,Rupiah
FR80 1737 0627 45OX YRGI AUPX Z26,280.76,true,Euro
IS84 5071 8396 3871 5919 6248 41,663.78,true,Rupiah
DE35 7825 2429 5938 7721 98,51.46,false,Real
GB79 DVXO 6514 1290 6521 89,110.34,false,Yuan Renminbi
MD07 PLKH G5DX HB4J QI7J EC7A,501.78,false,Litas
AE73 4578 1495 5274 8137 821,355.61,false,Ruble
PT14 5375 0739 5776 8488 9832 9,641.41,true,Euro
FR62 5485 6474 771N WQU6 ZDJQ C75,663.87,true,Ruble
FR53 4561 3607 95XN MGB6 MRPQ 788,197.04,true,Yuan Renminbi
MT63 KWMK 6899 2MWI 4TVZ KJGK UCZV X71,389.14,false,Quetzal
FR89 3923 5722 89MA J0N8 DGSX Z75,24.89,false,Yuan Renminbi
ME73 4851 8874 1204 9547 40,958.48,false,Rupiah
MC74 4528 5398 663H YL7C 5MNU G67,864.35,false,Rupiah
IT94 E562 5299 295Y A9HV TT2I UIF,81.22,false,Euro
FR38 6674 4100 265P XH2I 86RF F91,242.26,true,Hryvnia
LU17 242I 2VUQ X8IM V2NC,230.29,false,Yuan Renminbi
DO46 E4JB 7838 8177 7835 5842 1900,942.19,true,Hryvnia
TN42 2790 4938 0463 2435 5135,428.13,false,Yuan Renminbi
RS31 0152 9756 8982 2284 61,464.39,true,Peso
MC44 7069 0802 2714 OCNW BOWR L09,735.57,false,Zloty
FO83 7747 4157 6660 83,351.02,false,Dram
MD62 EYPP 5Y8G QMPP GHG6 XFEY,538.1,false,Yuan Renminbi
FR06 0239 1180 64ME O3GC QTQC 105,430.46,true,Euro
EE85 0588 1782 9621 9449,91.19,true,Yuan Renminbi
DE26 2392 9373 4437 2114 63,760.3,true,Peso
FR71 5898 7758 46JN NLQK SBBA T18,522.04,true,Won
IT07 R773 9426 314F YDSD RNTH YJU,158.49,false,Baht
IT07 Q923 2090 164K PN3J YEIU NZX,383.28,false,Real
MK68 413Y A2HN VB9M C14,611.9,false,Pound
IS98 7620 0009 8365 7855 1185 17,278.58,true,Dinar
SK35 4716 7690 0288 4497 6381,558.46,true,Lek
IE12 LYST 0994 1924 0348 90,578.29,true,Yuan Renminbi
FR38 7162 5985 29EH 8HD5 I9MX U26,342.57,false,Ruble
CY98 2055 6131 AYWG 9GPY UIWE 56PJ,331.62,false,Rupiah
MR45 3598 6560 4917 6135 7738 071,382.53,true,Peso
PS43 OTAB OCBO IWRF AIIM DVGC TO7C D,177.18,true,Dirham
DE33 0628 4029 7812 7923 62,411.43,false,Shekel
GE43 EO94 1378 4962 6661 83,488.7,true,Euro
FI66 5182 7169 2166 65,269.82,false,Real
BA21 1928 0443 3957 7902,17.92,true,Zloty
FR30 9567 6276 13EB KW1W VKEP Y75,611.42,true,Rupiah
GR69 7067 438A QVOV WPJK OZJJ H8O,181.74,true,Rupiah
GI62 VZKU QCAL OFI7 UHTG CI2,464.29,true,Peso
TN73 2347 0438 8496 2251 1555,336.57,true,Dollar
LU78 526K FGTA 6GVV EVLJ,693.01,true,Peso
ME17 2021 8843 0027 0920 18,79.36,false,Rupiah
MU77 POZM 5259 7218 8906 6891 382L ER,610.17,true,Yuan Renminbi
PT32 6138 3783 6576 7637 9543 9,179.57,false,Euro
KZ52 159R WTDJ GNN3 EYBO,856.21,true,Krona
PT77 3212 7989 5324 0072 7714 7,231.56,false,Zloty
SE83 5972 4066 1231 5386 3154,225.46,true,Ruble
GB39 PXSS 0357 1382 0210 29,27.45,false,Real
GR15 8041 774H HCEE YOBF UOMN WNM,998.02,true,Yuan Renminbi
FR21 4520 5715 44IK TSDF LIGB Q94,399.33,false,Dinar
RO74 WPFD SAE1 P1NU FWXQ IFKI,69.65,true,Peso
FR48 5135 6347 37BS QOD5 IEH8 X45,996.5,true,Rial
KZ35 809H 7X8M BBFK OXV6,914.53,true,Peso
PT98 7348 8374 3156 3087 9497 3,542.05,true,Yuan Renminbi
PT90 3402 6513 5511 3101 1132 7,467.21,false,Euro
IS83 0234 3225 5247 4803 0554 70,422.15,false,Yuan Renminbi
GE20 EQ33 3021 3315 2928 10,830.5,false,Zloty
TN59 2952 4801 0576 2310 4568,331.81,false,Rupiah
NL65 LCQK 4359 4371 02,760.78,true,Yuan Renminbi
DE87 0568 8147 7063 7408 57,296.7,true,Litas
MR68 3707 7427 4928 6474 2964 239,247.94,false,Rupiah
CZ09 7209 8956 1315 4885 8278,528.4,false,Real
